point_num,distance,LOS,AH_obstruction(%),LoRa_obstruction(%),AH_rssi_iqr,AH_rssi_mean,AH_snr_iqr,AH_snr_mean,AH_put,LoRa_rssi_iqr,LoRa_rssi_mean,LoRa_snr_iqr,LoRa_snr_mean,LoRa_put,
point 1,70,1,0,0,5,-76.14,1.02,32.974196,5815.041,6,-102.78,3.5,3.46,730.6612588,
point 2,120,1,0,0,3,-84.54,0.89,25.560179,6956.9293,3,-121.86,2.3,-8.756,569.1041572,
point 3,170,0,1,1,6,-84.43,0.9225,25.936875,654.9937,2,-77.09,2.05,9.447,584.794421,
point 4,210,0,1,1,4,-87.52,1.9675,19.980446,1677.052,5,-83.62,2.2,8.701,654.4189814,
point 5,240,0,1,0.7,2,-81.41,0.925,24.235446,4879.0268,9,-109.67,5.95,-0.591919,619.6067012,
point 6,250,0,1,1,2,-85.15,0.9,24.858839,10376.8111,2,-69.62,2.35,9.646,619.6067012,
point 7,260,1,0,0,2,-78.81,0.835,31.267054,7051.938,7,-87.51,2.075,7.99,619.6067012,
point 9,350,0,0.65,0.55,1,-84.47,0.765,21.376696,12022.3386,2.5,-91.08,2,8.153,619.6067012,
point 10,400,0,0.7,0.7,2,-84.33,0.9025,25.692411,6078.9321,5.25,-91.08,2.5,7.6,600.4846848,
point 11,450,0,1,0.9,4.25,-84.36,0.6125,26.132321,5803.25815,24,-99.32,8.3,3.235354,619.6067012,
point 13,500,1,0,0,2,-87.07,0.35,23.1525,3519.7953,3.25,-77.58,2.2,9.402,619.6067012,
point 18,700,0,1,1,2,-84.6,0.25,25.731339,7415.85002,7,-97.71,2.7,5.910101,709.9462602,
