point_num,distance,LOS,AH_obstruction(%),AH_rssi_iqr,AH_rssi_mean,AH_snr_iqr,AH_snr_mean,AH_put,
point 1,70,1,0,5,-76.14,1.02,32.974196,5815.041,
point 2,120,1,0,3,-84.54,0.89,25.560179,6956.9293,
point 3,170,0,1,6,-84.43,0.9225,25.936875,654.9937,
point 4,210,0,1,4,-87.52,1.9675,19.980446,1677.052,
point 5,240,0,1,2,-81.41,0.925,24.235446,4879.0268,
point 6,250,0,1,2,-85.15,0.9,24.858839,10376.8111,
point 7,260,1,0,2,-78.81,0.835,31.267054,7051.938,
point 9,350,0,0.65,1,-84.47,0.765,21.376696,12022.3386,
point 10,400,0,0.7,2,-84.33,0.9025,25.692411,6078.9321,
point 11,450,0,1,4.25,-84.36,0.6125,26.132321,5803.25815,
point 13,500,1,0,2,-87.07,0.35,23.1525,3519.7953,
point 18,700,0,1,2,-84.6,0.25,25.731339,7415.85002,
